level1 	level2	pathway_name	pathway_id
Organismal Systems	Aging	Longevity regulating pathway - multiple species 	ko04213
Organismal Systems	Environmental adaptation	Circadian rhythm 	ko04710
Organismal Systems	Environmental adaptation	Circadian entrainment 	ko04713
Organismal Systems	Environmental adaptation	Circadian rhythm - fly 	ko04711
Organismal Systems	Environmental adaptation	Circadian rhythm - plant 	ko04712
Organismal Systems	Environmental adaptation	Thermogenesis 	ko04714
Organismal Systems	Environmental adaptation	Plant-pathogen interaction 	ko04626
Human Diseases	Cancer: overview	Pathways in cancer 	ko05200
Human Diseases	Cancer: overview	Transcriptional misregulation in cancer 	ko05202
Human Diseases	Cancer: overview	MicroRNAs in cancer 	ko05206
Human Diseases	Cancer: overview	Proteoglycans in cancer 	ko05205
Human Diseases	Cancer: overview	Chemical carcinogenesis - DNA adducts 	ko05204
Human Diseases	Cancer: overview	Chemical carcinogenesis - receptor activation 	ko05207
Human Diseases	Cancer: overview	Chemical carcinogenesis - reactive oxygen species 	ko05208
Human Diseases	Cancer: overview	Viral carcinogenesis 	ko05203
Human Diseases	Cancer: overview	Central carbon metabolism in cancer 	ko05230
Human Diseases	Cancer: overview	Choline metabolism in cancer 	ko05231
Human Diseases	Cancer: overview	PD-L1 expression and PD-1 checkpoint pathway in cancer 	ko05235
Human Diseases	Cancer: specific types	Colorectal cancer 	ko05210
Human Diseases	Cancer: specific types	Pancreatic cancer 	ko05212
Human Diseases	Cancer: specific types	Hepatocellular carcinoma 	ko05225
Human Diseases	Cancer: specific types	Gastric cancer 	ko05226
Human Diseases	Cancer: specific types	Glioma 	ko05214
Human Diseases	Cancer: specific types	Thyroid cancer 	ko05216
Human Diseases	Cancer: specific types	Acute myeloid leukemia 	ko05221
Human Diseases	Cancer: specific types	Chronic myeloid leukemia 	ko05220
Human Diseases	Cancer: specific types	Basal cell carcinoma 	ko05217
Human Diseases	Cancer: specific types	Melanoma 	ko05218
Human Diseases	Cancer: specific types	Renal cell carcinoma 	ko05211
Human Diseases	Cancer: specific types	Bladder cancer 	ko05219
Human Diseases	Cancer: specific types	Prostate cancer 	ko05215
Human Diseases	Cancer: specific types	Endometrial cancer 	ko05213
Human Diseases	Cancer: specific types	Breast cancer 	ko05224
Human Diseases	Cancer: specific types	Small cell lung cancer 	ko05222
Human Diseases	Cancer: specific types	Non-small cell lung cancer 	ko05223
Human Diseases	Infectious disease: viral	Human T-cell leukemia virus 1 infection 	ko05166
Human Diseases	Infectious disease: viral	Human immunodeficiency virus 1 infection 	ko05170
Human Diseases	Infectious disease: viral	Hepatitis B 	ko05161
Human Diseases	Infectious disease: viral	Hepatitis C 	ko05160
Human Diseases	Infectious disease: viral	Coronavirus disease - COVID-19 	ko05171
Human Diseases	Infectious disease: viral	Influenza A 	ko05164
Human Diseases	Infectious disease: viral	Measles 	ko05162
Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection 	ko05168
Human Diseases	Infectious disease: viral	Human cytomegalovirus infection 	ko05163
Human Diseases	Infectious disease: viral	Kaposi sarcoma-associated herpesvirus infection 	ko05167
Human Diseases	Infectious disease: viral	Epstein-Barr virus infection 	ko05169
Human Diseases	Infectious disease: viral	Human papillomavirus infection 	ko05165
Human Diseases	Infectious disease: bacterial	Vibrio cholerae infection 	ko05110
Human Diseases	Infectious disease: bacterial	Epithelial cell signaling in Helicobacter pylori infection 	ko05120
Human Diseases	Infectious disease: bacterial	Pathogenic Escherichia coli infection 	ko05130
Human Diseases	Infectious disease: bacterial	Salmonella infection 	ko05132
Human Diseases	Infectious disease: bacterial	Shigellosis 	ko05131
Human Diseases	Infectious disease: bacterial	Yersinia infection 	ko05135
Human Diseases	Infectious disease: bacterial	Pertussis 	ko05133
Human Diseases	Infectious disease: bacterial	Legionellosis 	ko05134
Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection 	ko05150
Human Diseases	Infectious disease: bacterial	Tuberculosis 	ko05152
Human Diseases	Infectious disease: bacterial	Bacterial invasion of epithelial cells 	ko05100
Human Diseases	Infectious disease: parasitic	Amoebiasis 	ko05146
Human Diseases	Infectious disease: parasitic	Malaria 	ko05144
Human Diseases	Infectious disease: parasitic	Toxoplasmosis 	ko05145
Human Diseases	Infectious disease: parasitic	Leishmaniasis 	ko05140
Human Diseases	Infectious disease: parasitic	Chagas disease 	ko05142
Human Diseases	Infectious disease: parasitic	African trypanosomiasis 	ko05143
Human Diseases	Immune disease	Asthma 	ko05310
Human Diseases	Immune disease	Systemic lupus erythematosus 	ko05322
Human Diseases	Immune disease	Rheumatoid arthritis 	ko05323
Human Diseases	Immune disease	Autoimmune thyroid disease 	ko05320
Human Diseases	Immune disease	Inflammatory bowel disease 	ko05321
Human Diseases	Immune disease	Allograft rejection 	ko05330
Human Diseases	Immune disease	Graft-versus-host disease 	ko05332
Human Diseases	Immune disease	Primary immunodeficiency 	ko05340
Human Diseases	Neurodegenerative disease	Alzheimer disease 	ko05010
Human Diseases	Neurodegenerative disease	Parkinson disease 	ko05012
Human Diseases	Neurodegenerative disease	Amyotrophic lateral sclerosis 	ko05014
Human Diseases	Neurodegenerative disease	Huntington disease 	ko05016
Human Diseases	Neurodegenerative disease	Spinocerebellar ataxia 	ko05017
Human Diseases	Neurodegenerative disease	Prion disease 	ko05020
Human Diseases	Neurodegenerative disease	Pathways of neurodegeneration - multiple diseases 	ko05022
Human Diseases	Substance dependence	Cocaine addiction 	ko05030
Human Diseases	Substance dependence	Amphetamine addiction 	ko05031
Human Diseases	Substance dependence	Morphine addiction 	ko05032
Human Diseases	Substance dependence	Nicotine addiction 	ko05033
Human Diseases	Substance dependence	Alcoholism 	ko05034
Human Diseases	Cardiovascular disease	Lipid and atherosclerosis 	ko05417
Human Diseases	Cardiovascular disease	Fluid shear stress and atherosclerosis 	ko05418
Human Diseases	Cardiovascular disease	Hypertrophic cardiomyopathy 	ko05410
Human Diseases	Cardiovascular disease	Arrhythmogenic right ventricular cardiomyopathy 	ko05412
Human Diseases	Cardiovascular disease	Dilated cardiomyopathy 	ko05414
Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy 	ko05415
Human Diseases	Cardiovascular disease	Viral myocarditis 	ko05416
Human Diseases	Endocrine and metabolic disease	Type II diabetes mellitus 	ko04930
Human Diseases	Endocrine and metabolic disease	Type I diabetes mellitus 	ko04940
Human Diseases	Endocrine and metabolic disease	Maturity onset diabetes of the young 	ko04950
Human Diseases	Endocrine and metabolic disease	Alcoholic liver disease 	ko04936
Human Diseases	Endocrine and metabolic disease	Non-alcoholic fatty liver disease 	ko04932
Human Diseases	Endocrine and metabolic disease	Insulin resistance 	ko04931
Human Diseases	Endocrine and metabolic disease	AGE-RAGE signaling pathway in diabetic complications 	ko04933
Human Diseases	Endocrine and metabolic disease	Cushing syndrome 	ko04934
Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance 	ko01501
Human Diseases	Drug resistance: antimicrobial	Vancomycin resistance 	ko01502
Human Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance 	ko01503
Human Diseases	Drug resistance: antineoplastic	EGFR tyrosine kinase inhibitor resistance 	ko01521
Human Diseases	Drug resistance: antineoplastic	Platinum drug resistance 	ko01524
Human Diseases	Drug resistance: antineoplastic	Antifolate resistance 	ko01523
Human Diseases	Drug resistance: antineoplastic	Endocrine resistance 	ko01522
Brite Hierarchies	Protein families: metabolism	Protein kinases 	ko01001
Brite Hierarchies	Protein families: metabolism	Protein phosphatases and associated proteins 	ko01009
Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors 	ko01002
Brite Hierarchies	Protein families: metabolism	Glycosyltransferases 	ko01003
Brite Hierarchies	Protein families: metabolism	Lipopolysaccharide biosynthesis proteins 	ko01005
Brite Hierarchies	Protein families: metabolism	Peptidoglycan biosynthesis and degradation proteins 	ko01011
Brite Hierarchies	Protein families: metabolism	Lipid biosynthesis proteins 	ko01004
Brite Hierarchies	Protein families: metabolism	Polyketide biosynthesis proteins 	ko01008
Brite Hierarchies	Protein families: metabolism	Prenyltransferases 	ko01006
Brite Hierarchies	Protein families: metabolism	Amino acid related enzymes 	ko01007
Brite Hierarchies	Protein families: metabolism	Cytochrome P450 	ko00199
Brite Hierarchies	Protein families: metabolism	Photosynthesis proteins 	ko00194
Brite Hierarchies	Protein families: genetic information processing	Transcription factors 	ko03000
Brite Hierarchies	Protein families: genetic information processing	Transcription machinery 	ko03021
Brite Hierarchies	Protein families: genetic information processing	Messenger RNA biogenesis 	ko03019
Brite Hierarchies	Protein families: genetic information processing	Spliceosome 	ko03041
Brite Hierarchies	Protein families: genetic information processing	Ribosome 	ko03011
Brite Hierarchies	Protein families: genetic information processing	Ribosome biogenesis 	ko03009
Brite Hierarchies	Protein families: genetic information processing	Transfer RNA biogenesis 	ko03016
Brite Hierarchies	Protein families: genetic information processing	Translation factors 	ko03012
Brite Hierarchies	Protein families: genetic information processing	Chaperones and folding catalysts 	ko03110
Brite Hierarchies	Protein families: genetic information processing	Membrane trafficking 	ko04131
Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system 	ko04121
Brite Hierarchies	Protein families: genetic information processing	Proteasome 	ko03051
Brite Hierarchies	Protein families: genetic information processing	DNA replication proteins 	ko03032
Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins 	ko03036
Brite Hierarchies	Protein families: genetic information processing	DNA repair and recombination proteins 	ko03400
Brite Hierarchies	Protein families: genetic information processing	Mitochondrial biogenesis 	ko03029
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters 	ko02000
Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system 	ko02044
Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial toxins 	ko02042
Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system 	ko02022
Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial motility proteins 	ko02035
Brite Hierarchies	Protein families: signaling and cellular processes	Cilium and associated proteins 	ko03037
Brite Hierarchies	Protein families: signaling and cellular processes	Cytoskeleton proteins 	ko04812
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome 	ko04147
Brite Hierarchies	Protein families: signaling and cellular processes	Prokaryotic defense system 	ko02048
Brite Hierarchies	Protein families: signaling and cellular processes	G protein-coupled receptors 	ko04030
Brite Hierarchies	Protein families: signaling and cellular processes	Cytokine receptors 	ko04050
Brite Hierarchies	Protein families: signaling and cellular processes	Pattern recognition receptors 	ko04054
Brite Hierarchies	Protein families: signaling and cellular processes	Nuclear receptors 	ko03310
Brite Hierarchies	Protein families: signaling and cellular processes	Ion channels 	ko04040
Brite Hierarchies	Protein families: signaling and cellular processes	GTP-binding proteins 	ko04031
Brite Hierarchies	Protein families: signaling and cellular processes	Cytokines and neuropeptides 	ko04052
Brite Hierarchies	Protein families: signaling and cellular processes	Cell adhesion molecules 	ko04515
Brite Hierarchies	Protein families: signaling and cellular processes	CD molecules 	ko04090
Brite Hierarchies	Protein families: signaling and cellular processes	Antimicrobial resistance genes 	ko01504
Brite Hierarchies	Protein families: signaling and cellular processes	Proteoglycans 	ko00535
Brite Hierarchies	Protein families: signaling and cellular processes	Glycosaminoglycan binding proteins 	ko00536
Brite Hierarchies	Protein families: signaling and cellular processes	Glycosylphosphatidylinositol (GPI)-anchored proteins 	ko00537
Brite Hierarchies	Protein families: signaling and cellular processes	Lectins 	ko04091
Brite Hierarchies	Protein families: signaling and cellular processes	Domain-containing proteins not elsewhere classified 	ko04990
Brite Hierarchies	Viral protein families	Viral proteins 	ko03200
Brite Hierarchies	Viral protein families	Viral fusion proteins 	ko03210
Brite Hierarchies	RNA family	Non-coding RNAs 	ko03100
